"Exocrine"	"Endocrine"	"Classic"	"StromaActiv"	"Basal"	"StromaActivInflam"	"Immune"	"StromaInactive"	"ICA9"	"Tech"
"MEDAG"	-0.685026108599133	-3.40108112292887	-1.10790217228747	1.52281694052501	-3.36530378461969	7.92411148250791	-0.0469762205818062	0.965209757408163	0.889625952190475	-0.645492131941879
"ITGBL1"	-1.06231115387863	7.84760749981849	1.07066198179492	3.88062614476215	0.219744206453977	0.849998686662293	-0.377172686648426	4.29600814932716	-1.80462135585261	-0.702981275002434
"LYZ"	-0.133018153766462	-2.16742772463801	7.81917321760321	0.865665079574593	-1.84839308838732	0.326769605264254	4.24771624954953	-0.145361550436595	-2.10353724995171	-0.296508108586504
"GABBR1 /// UBD"	1.5847380363332	0.255865951187531	1.82326914176097	1.76580103385895	-2.2714744594528	-3.34721621727631	7.8021481224914	-3.48060666428341	0.357884613678877	-0.0337059434792649
"KCNMB1"	-0.35261262671326	-7.79558614319197	1.29378248227977	-0.844822239416279	0.362773362260875	-1.311656426121	0.799940968734547	2.03986237624236	-0.701767965685065	0.0747308867885476
"IGFL2"	-0.703583696404961	4.39873759926007	0.0638705722255401	7.78311507227726	1.6977401916397	-0.526114529812988	0.315655983925417	-0.651281521515249	0.717143172696131	0.708120802405122
"FAM83A"	1.19378497781643	0.134692323231909	-2.85142869398787	-0.496993436405502	7.76317301001597	-0.0612730473548354	-0.681157677039354	-1.176320285093	-0.00444942873724509	1.08154069131233
"FOSL1"	0.475576746311153	-0.741345112801498	-0.138447477611289	-1.73312646556909	3.54099530243618	7.63398525920979	0.267164740287309	-2.65655124019616	0.40076999059741	-1.57886738456328
"FAM83D"	-1.12131402437583	-7.61643706776657	-0.0570315154449827	-1.2119314154768	-1.12228132200648	-0.716947165088567	-1.62675459845658	-0.626352653494062	0.726230234724329	-1.35401705000654
"SERPINA3"	7.61257021369884	0.94044813469958	0.620719933746227	1.91378128135318	-0.612343202586934	-1.38436264067296	0.689572965139393	-0.828647911856274	2.32223934941033	0.177679379467086
"AGR2"	-1.94808549005826	-0.537472587442214	7.61256231600642	-0.027580132955213	-0.996917766976016	0.196877873725784	-2.64028699358742	-0.447013049588194	-0.53599994778324	-0.645505169026097
"C1QTNF3"	-0.71605471946943	-1.37531357379762	0.178964702324545	7.55776131160254	-1.325255472851	-0.227056009303201	-0.926885128536947	1.77832689900738	-1.83906418502597	-0.445689646353778
"ISM1"	-0.651080148082937	1.15904197020944	2.04750847776115	7.53813035919491	-0.264575767180903	-2.11140376324093	-0.0268065177313639	2.95204059570228	-1.58782744961412	-0.0338591552178261
"MAB21L2"	-0.335569410524263	-7.53198787231876	0.0881037250812009	-0.516561669030197	-0.382207712639238	-0.753418737019534	-1.77040398672161	1.65057629588072	-0.927937320097016	0.554880033646897
"TFF2"	0.566417054447971	-0.944838208503074	7.49655560694174	-0.244594931755399	2.97531135410656	1.05305900352263	-0.9626899943832	0.16268132812859	0.998402776538051	0.502272991023442
"NR4A2"	-0.713625693053564	0.810304487406453	0.175359107210661	0.00906762813892796	-1.56029898035143	7.48959244379703	-1.73479394602384	-1.12609310282013	-0.16905328229255	-0.201200805094656
"CXCL9"	-0.164095165201518	2.1129662140596	-1.75181879790026	-0.929762455794173	-1.30351968652036	-1.99202483103135	7.47421419032279	-2.19890118033306	-1.61676739290891	-0.0224710220771206
"CYP3A5"	-0.940535089650559	-1.13960740928123	7.46822476821102	-1.69266954580645	1.14393982531479	-0.581820072588557	-1.0241853984751	2.10115448152688	0.84758359056924	-0.725197616292003
"DUOX2"	3.18608393878218	-0.700354471300411	7.46807379819755	-0.00938219802040532	4.20404091756313	0.661822540024675	2.46187007978631	0.498274327922975	-1.1450448183454	0.307397331112163
"MUC13"	-1.66089291316415	0.300642657240104	7.44286934372767	0.201004937885519	-2.59178124378329	1.02570953470199	0.0363778714345891	-1.23246099201574	-0.001217741722716	0.168413389684368
"ATP10B"	0.103545000207238	1.01830734722591	7.4271365256842	-1.36933137538281	1.22378529143201	1.90768025001998	-0.128432506401529	0.123603289355014	0.439092608606849	-0.542980908981861
"REG1P"	7.36899884866876	0.811591204715724	-0.456250887704449	1.30055007444486	-1.20365032128309	0.644050571736675	-0.513011033809467	-1.65031149226595	-1.54819497484892	1.81776716248201
"SLC2A14 /// SLC2A3"	-0.311677969111514	2.65855842785835	-0.10087116383202	2.70196088617218	1.86141333215632	7.35570288407188	-0.0893068708550512	-1.33673011125759	0.164999417314224	-0.228585221322762
"CHGA"	1.72666991376957	7.27427976753201	1.23363418451711	-2.22406600196362	0.550647219269791	0.871727420738617	-1.09668992800662	3.09747052081062	-0.00385547196722489	-0.218642654560957
"PLN"	-0.602131356937429	-7.26276566952257	-0.518880181494186	1.59386593628949	-2.42639649802774	1.99484472205906	-1.32489562390366	2.56858220934684	0.403043258969977	-1.28629870069971
