p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.54286988203367e-92	0.829532199003362	0.375	0.218	2.69662797981845e-88	0	Nsun2
3.49526590854819e-92	0.90490606951033	0.333	0.184	6.10902575496052e-88	0	Pcbd2
7.72131138700303e-92	0.3419727007004	0.36	0.199	1.34953080422039e-87	0	Igfbp5
7.73033560165873e-91	0.383300420079117	0.779	0.615	1.35110805645791e-86	0	Ube2s
8.3580218677337e-91	0.596172230146572	0.588	0.415	1.4608150620425e-86	0	Rp9
1.07270126778902e-90	0.628133078721086	0.537	0.363	1.87486727584165e-86	0	Fnta
8.7988296038728e-90	0.64597367721489	0.603	0.439	1.53785943816489e-85	0	Ets2
1.749154975229e-89	1.35738302945511	0.207	0.093	3.05717306570525e-85	0	Nr4a2
3.02364834744281e-89	0.530319992670103	0.7	0.539	5.28473258166055e-85	0	Drap1
5.13183181550208e-89	0.976627226761866	0.264	0.133	8.96941564713453e-85	0	Cavin3
1.34498837315469e-88	0.589910994336122	0.587	0.417	2.35077067859976e-84	0	Chmp4b
1.9406730106005e-88	0.470630626580672	0.751	0.594	3.39190828792756e-84	0	Emc6
2.88178111350062e-88	0.764109518165929	0.42	0.26	5.03677703017639e-84	0	Fbxw2
1.14007229475583e-87	0.491215316851972	0.704	0.536	1.99261835677423e-83	0	Xbp1
1.39053108991468e-87	1.39887269905062	0.164	0.065	2.43037023895288e-83	0	Nkain4
1.417966835231e-87	0.815707651429805	0.469	0.313	2.47832243461675e-83	0	Mknk2
7.90363048908294e-87	0.578622770383969	0.62	0.459	1.38139653688192e-82	0	Cggbp1
9.24013975711465e-87	0.80442418861715	0.375	0.223	1.6149916267485e-82	0	Rnpep
9.42168263353227e-87	1.06702502719272	0.248	0.123	1.64672169068877e-82	0	Nfe2l3
2.22544019319334e-86	0.332575544132338	0.576	0.364	3.88962436966333e-82	0	Anxa1
4.79437410808315e-86	0.512171088360459	0.506	0.328	8.37960706610773e-82	0	Pglyrp1
5.29562152947699e-86	0.875292366446303	0.322	0.179	9.25568730921988e-82	0	Dcun1d5
5.31172477910846e-86	1.38069799584702	0.173	0.073	9.28383256892577e-82	0	Klf2
8.70346472182702e-86	0.769981144495517	0.405	0.247	1.52119156408093e-81	0	Ackr3
1.09739927381657e-85	0.844679443440316	0.34	0.194	1.9180344507766e-81	0	Nsmce3
1.79812668125631e-85	0.265919665926374	1	0.998	3.14276581349978e-81	0	Tmsb4x
4.98992569042337e-85	1.4568330596977	0.149	0.057	8.72139212172197e-81	0	Scnn1a
5.84202913706212e-85	0.662294015616682	0.476	0.311	1.02106985257572e-80	0	Sys1
1.78190126651771e-84	0.251559198264649	1	0.999	3.11440703361966e-80	0	Krt18
4.84792865374592e-84	0.816273464105171	0.342	0.196	8.47320970101712e-80	0	Sod3
7.9324782799755e-84	0.605654639271065	0.575	0.412	1.38643855377412e-79	0	Cttnbp2
1.54375661136979e-83	0.943546114221838	0.27	0.141	2.69817780535212e-79	0	Pmaip1
3.09233023806568e-83	0.923799419781573	0.292	0.157	5.40477479009119e-79	0	Hspa1a
3.98260078984881e-83	0.631569420860446	0.536	0.373	6.96078966049775e-79	0	Kansl1l
4.55616568771348e-83	0.741316207828809	0.398	0.244	7.96326638898562e-79	0	Mtx2
4.48782191300473e-82	0.784225223677927	0.325	0.182	7.84381513954967e-78	0	Il18r1
7.71198343166333e-82	0.889223101213794	0.301	0.166	1.34790046418612e-77	0	Zfp622
2.29164637199318e-81	0.655153932496665	0.506	0.346	4.00533952896967e-77	0	Sdc1
4.27866724416969e-81	1.22580159140298	0.193	0.088	7.47825460935978e-77	0	Prkca
4.29549069589464e-81	0.942647727269877	0.294	0.162	7.50765863828466e-77	0	Klf11
5.01410953545405e-81	0.314439829432208	0.956	0.919	8.76366064606658e-77	0	Ctnnb1
8.7226132058321e-81	0.611287692419683	0.629	0.483	1.52453833611533e-76	0	Zfp36l2
1.15083451363278e-80	0.607395644432223	0.517	0.352	2.01142856292737e-76	0	Tgfb3
1.48371658335747e-80	0.644989675610259	0.53	0.375	2.59323984439219e-76	0	Mafk
1.58094489106276e-80	0.659077922934788	0.439	0.284	2.76317548059949e-76	0	Ckmt1
4.59141680238892e-80	0.512802255202274	0.822	0.724	8.02487828721536e-76	0	Lmna
