Gene ID	5 STIM clusters
ZNF530	Tumor Classical
PPIL6	Tumor Classical
DHDH	Tumor Classical
TM4SF1-AS1	Tumor Classical
AGR2	Tumor Classical
DNTTIP1	Tumor Classical
OCIAD2	Tumor Classical
KLHL35	Tumor Classical
SRPK1	Tumor Classical
REEP3	Tumor Classical
ZNF816-ZNF321P	Tumor Classical
GPD2	Tumor Classical
CHRNA5	Tumor Classical
MCU	Tumor Classical
STK39	Tumor Classical
NUPR1L	Tumor Classical
SLC7A11	Tumor Classical
TBC1D8B	Tumor Classical
SPATA32	Tumor Classical
SERPINB1	Tumor Classical
DBF4	Tumor Classical
KCCAT333	Tumor Classical
FUNDC1	Tumor Classical
LHPP	Tumor Classical
CAPZA2	Tumor Classical
SLMO2	Tumor Classical
PBK	Tumor Classical
LY6E	Tumor Classical
PAK1	Tumor Classical
SMAGP	Tumor Classical
EZR-AS1	Tumor Classical
PEX7	Tumor Classical
CD24	Tumor Classical
MAP3K14-AS1	Tumor Classical
ZNF321P	Tumor Classical
MLX	Tumor Classical
ARHGAP18	Tumor Classical
RAB22A	Tumor Classical
TMEM54	Tumor Classical
STK26	Tumor Classical
PYCR1	Tumor Classical
S100A6	Tumor Classical
MAD2L1	Tumor Classical
ADPRHL1	Tumor Classical
CEBPZOS	Tumor Classical
TMCO3	Tumor Classical
PLAC1	Tumor Classical
POC1A	Tumor Classical
OTUB1	Tumor Classical
TM2D1	Tumor Classical
TMEM179B	Tumor Classical
GALNT3	Tumor Classical
SYS1-DBNDD2	Tumor Classical
TFRC	Tumor Classical
MPZL2	Tumor Classical
TPRG1-AS2	Tumor Classical
FKBP1A-SDCBP2	Tumor Classical
ERGIC3	Tumor Classical
RBM6	Desert-like
FAM156A	Desert-like
PNISR	Desert-like
LOC613037	Desert-like
FAM156B	Desert-like
NPIPA7	Desert-like
NPIPA8	Desert-like
NPIPA1	Desert-like
CDK5RAP3	Desert-like
AHSA2	Desert-like
HSF4	Desert-like
NPIPB6	Desert-like
RBM25	Desert-like
AGAP6	Desert-like
ZNF276	Desert-like
PILRB	Desert-like
TTLL3	Desert-like
NPIPA5	Desert-like
AGAP4	Desert-like
PLA2G4B	Desert-like
CCDC14	Desert-like
NPIPA2	Desert-like
FAM193B	Desert-like
NPIPA3	Desert-like
ZDHHC11	Desert-like
AFG3L1P	Desert-like
WASH3P	Desert-like
ENGASE	Desert-like
EMILIN3	Desert-like
D2HGDH	Desert-like
TUBGCP6	Desert-like
MIR4750	Desert-like
CCNL2	Desert-like
ASMTL-AS1	Desert-like
MAPK8IP3	Desert-like
CROCC	Desert-like
NPIPB5	Desert-like
LINC01125	Desert-like
CRYGS	Desert-like
STAG3L5P-PVRIG2P-PILRB	Desert-like
DNHD1	Desert-like
MALAT1	Desert-like
WASH7P	Desert-like
NPIPB8	Desert-like
PNN	Desert-like
AGAP5	Desert-like
TAF1C	Desert-like
LUC7L3	Desert-like
WDR27	Desert-like
NPIPB3	Desert-like
ENTHD2	Desert-like
HERC2P9	Desert-like
AGAP11	Desert-like
ALS2CL	Desert-like
NPIPB11	Desert-like
LUC7L	Desert-like
PDCL3P4	Desert-like
ATP2A1	Desert-like
CCER2	Desert-like
FANCA	Desert-like
AGAP9	Desert-like
ZNF37BP	Desert-like
PCGF3	Desert-like
DNAH1	Desert-like
ZASP	Desert-like
TBC1D3F	Desert-like
LOC150776	Desert-like
AMY2B	Desert-like
CTGLF12P	Desert-like
JMJD7-PLA2G4B	Desert-like
TBC1D3	Desert-like
LINC01355	Desert-like
LOC102723859	Desert-like
LOC102724862	Desert-like
TBC1D3K	Desert-like
LOC101060389	Desert-like
TBC1D3L	Desert-like
